;;T(entropy,4,0.01,0.3);
4;Pavia,(3,false,"o_RCC8","TestOpAll");(84.38, 90.0, 98.75, 90.0, 86.11, 00:09:01);
5;Pavia,(3,false,"o_RCC8","TestOpAll");(78.12, 75.0, 95.0, 65.22, 80.56, 00:08:38);
6;Pavia,(3,false,"o_RCC8","TestOpAll");(75.0, 75.0, 98.75, 88.24, 77.78, 00:10:18);
7;Pavia,(3,false,"o_RCC8","TestOpAll");(82.5, 85.0, 96.88, 77.27, 84.44, 00:09:40);
8;Pavia,(3,false,"o_RCC8","TestOpAll");(82.5, 90.0, 97.5, 81.82, 84.44, 00:08:44);
9;Pavia,(3,false,"o_RCC8","TestOpAll");(80.62, 90.0, 98.75, 90.0, 82.78, 00:08:28);
10;Pavia,(3,false,"o_RCC8","TestOpAll");(86.25, 95.0, 98.75, 90.48, 87.78, 00:09:54);
1;Pavia,(3,false,"o_RCC5","TestOpAll");(80.0, 90.0, 96.25, 75.0, 82.22, 00:09:59);
2;Pavia,(3,false,"o_RCC5","TestOpAll");(80.62, 75.0, 97.5, 78.95, 82.78, 00:09:60);
3;Pavia,(3,false,"o_RCC5","TestOpAll");(86.25, 100.0, 99.38, 95.24, 87.78, 00:09:39);
4;Pavia,(3,false,"o_RCC5","TestOpAll");(84.38, 85.0, 99.38, 94.44, 86.11, 00:09:43);
5;Pavia,(3,false,"o_RCC5","TestOpAll");(81.88, 80.0, 99.38, 94.12, 83.89, 00:08:05);
6;Pavia,(3,false,"o_RCC5","TestOpAll");(78.12, 90.0, 98.75, 90.0, 80.56, 00:08:15);
7;Pavia,(3,false,"o_RCC5","TestOpAll");(78.75, 85.0, 96.88, 77.27, 81.11, 00:09:34);
8;Pavia,(3,false,"o_RCC5","TestOpAll");(83.75, 95.0, 96.25, 76.0, 85.56, 00:08:16);
9;Pavia,(3,false,"o_RCC5","TestOpAll");(78.12, 90.0, 98.75, 90.0, 80.56, 00:08:29);
10;Pavia,(3,false,"o_RCC5","TestOpAll");(86.87, 95.0, 98.75, 90.48, 88.33, 00:08:27);
1;Salinas-A,(1,false,"o_None","TestOpGeq");(91.0, 100.0, 100.0, 100.0, 92.5, 00:00:05);
2;Salinas-A,(1,false,"o_None","TestOpGeq");(95.0, 100.0, 99.0, 95.24, 95.83, 00:00:05);
3;Salinas-A,(1,false,"o_None","TestOpGeq");(99.0, 100.0, 100.0, 100.0, 99.17, 00:00:05);
4;Salinas-A,(1,false,"o_None","TestOpGeq");(98.0, 100.0, 100.0, 100.0, 98.33, 00:00:05);
