;;T(entropy,4,0.01,0.3);
7;Salinas,(3,false,"o_RCC8","TestOpAll");(92.0, 100.0, 100.0, 100.0, 92.5, 00:25:46);
8;Salinas,(3,false,"o_RCC8","TestOpAll");(94.33, 95.0, 100.0, 100.0, 94.69, 00:22:16);
9;Salinas,(3,false,"o_RCC8","TestOpAll");(89.0, 90.0, 100.0, 100.0, 89.69, 00:19:60);
10;Salinas,(3,false,"o_RCC8","TestOpAll");(89.67, 95.0, 100.0, 100.0, 90.31, 00:27:42);
1;Salinas,(3,false,"o_RCC5","TestOpAll");(92.67, 100.0, 100.0, 100.0, 93.12, 01:35:23);
2;Salinas,(3,false,"o_RCC5","TestOpAll");(92.0, 100.0, 100.0, 100.0, 92.5, 01:35:41);
3;Salinas,(3,false,"o_RCC5","TestOpAll");(92.33, 100.0, 100.0, 100.0, 92.81, 08:39:48);
4;Salinas,(3,false,"o_RCC5","TestOpAll");(93.0, 100.0, 100.0, 100.0, 93.44, 00:28:58);
5;Salinas,(3,false,"o_RCC5","TestOpAll");(91.0, 95.0, 100.0, 100.0, 91.56, 01:30:03);
6;Salinas,(3,false,"o_RCC5","TestOpAll");(91.33, 100.0, 99.0, 86.96, 91.88, 01:30:21);
7;Salinas,(3,false,"o_RCC5","TestOpAll");(89.33, 100.0, 100.0, 100.0, 90.0, 00:26:21);
8;Salinas,(3,false,"o_RCC5","TestOpAll");(91.0, 95.0, 100.0, 100.0, 91.56, 00:29:45);
9;Salinas,(3,false,"o_RCC5","TestOpAll");(89.67, 95.0, 100.0, 100.0, 90.31, 00:30:35);
10;Salinas,(3,false,"o_RCC5","TestOpAll");(91.0, 100.0, 100.0, 100.0, 91.56, 00:29:52);
1;Salinas-A,(3,false,"o_RCC5","TestOpAll");(96.0, 95.0, 100.0, 100.0, 96.67, 00:06:36);
2;Salinas-A,(3,false,"o_RCC5","TestOpAll");(99.0, 100.0, 100.0, 100.0, 99.17, 00:06:56);
3;Salinas-A,(3,false,"o_RCC5","TestOpAll");(99.0, 100.0, 100.0, 100.0, 99.17, 00:06:59);
4;Salinas-A,(3,false,"o_RCC5","TestOpAll");(97.0, 100.0, 100.0, 100.0, 97.5, 00:06:60);
5;Salinas-A,(3,false,"o_RCC5","TestOpAll");(96.0, 100.0, 100.0, 100.0, 96.67, 00:06:00);
6;Salinas-A,(3,false,"o_RCC5","TestOpAll");(97.0, 95.0, 100.0, 100.0, 97.5, 00:06:14);
7;Salinas-A,(3,false,"o_RCC5","TestOpAll");(94.0, 100.0, 100.0, 100.0, 95.0, 00:06:18);
8;Salinas-A,(3,false,"o_RCC5","TestOpAll");(96.0, 100.0, 99.0, 95.24, 96.67, 00:06:59);
9;Salinas-A,(3,false,"o_RCC5","TestOpAll");(98.0, 100.0, 100.0, 100.0, 98.33, 00:07:33);
10;Salinas-A,(3,false,"o_RCC5","TestOpAll");(97.0, 100.0, 100.0, 100.0, 97.5, 00:06:59);
